FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2014 ORDINANCE (AMOUNT $)
Local,0100,CORPORATE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,181,MOBILE COMM SERVICES,$9280.00
Local,0100,CORPORATE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,190,TELEPHONE-CENTREX,$26000.00
Local,0100,CORPORATE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,197,TELEPHONE-MAINTENANCE,$6500.00
Local,0100,CORPORATE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,229,TRAN/EXP ALLOWANCE,$200.00
Local,0100,CORPORATE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,245,REIMBURSEMENT TRAVELERS,$2500.00
Local,0100,CORPORATE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,270,LOCAL TRANSPORTATION,$2490.00
Local,0100,CORPORATE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,340,MATERIAL AND SUPPLIES,$3000.00
Local,0100,CORPORATE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,350,STATIONERY AND OFFICE SUPPL,$18950.00
Local,0200,WATER FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,5,SALARIES AND WAGES - ON PAYROLL,$178572.00
Local,0200,WATER FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,15,SCHEDULE SALARY ADJ,$4138.00
Local,0740,O'HARE REVENUE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,5,SALARIES AND WAGES - ON PAYROLL,$1229664.00
Local,0740,O'HARE REVENUE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,15,SCHEDULE SALARY ADJ,$16766.00
Local,0740,O'HARE REVENUE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,130,POSTAGE,$1200.00
Local,0740,O'HARE REVENUE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,140,PROF & TECHNICAL SERVICES,$150000.00
Local,0740,O'HARE REVENUE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,162,REPAIR/MAINT EQUIPMENT,$12000.00
Local,0740,O'HARE REVENUE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,190,TELEPHONE-CENTREX,$374.00
Local,0740,O'HARE REVENUE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,270,LOCAL TRANSPORTATION,$1000.00
Local,0740,O'HARE REVENUE FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,350,STATIONERY AND OFFICE SUPPL,$773.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,5,SALARIES AND WAGES - ON PAYROLL,$2777853.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,15,SCHEDULE SALARY ADJ,$19697.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,140,PROF & TECHNICAL SERVICES,$20000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,143,COURT REPORTING,$5000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,148,TESTING AND INSPECTING,$2000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,152,ADVERTISING,$2000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,159,LEASE PURCHASE AGREEMNT,$141000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,166,DUES  SUBSC & MEM,$3250.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,181,MOBILE COMM SERVICES,$150000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,189,TELEPHONE NON-CENTREX,$30400.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,190,TELEPHONE-CENTREX,$194000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,191,TELEPHONE-RELOCATIONS,$9000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,196,DATA CIRCUITS,$110000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,197,TELEPHONE-MAINTENANCE,$33695.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,270,LOCAL TRANSPORTATION,$250.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,340,MATERIAL AND SUPPLIES,$13000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2103,BUREAU OF FINANCE AND ADMIN,350,STATIONERY AND OFFICE SUPPL,$45000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$28442525.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,12,CONTRACT WAGE-PR,$482098.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,15,SCHEDULE SALARY ADJ,$12890.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,20,OVERTIME,$500000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,91,UNIFORM ALLOWANCE,$15400.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,125,OFF AND BUILDING SERV,$16263982.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,140,PROF & TECHNICAL SERVICES,$4196529.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,$345300.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,160,REPAIR/MAINT PROPERTY,$560000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,$1585300.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,229,TRAN/EXP ALLOWANCE,$35000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SAN SUPPLY,$827450.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,319,CLOTHING,$50712.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,340,MATERIAL AND SUPPLIES,$1010000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,342,DRUGS MED AND CHEM MATL S,$1660.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$2617381.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,15,SCHEDULE SALARY ADJ,$21339.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,130,POSTAGE,$45000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,140,PROF & TECHNICAL SERVICES,$2034000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,141,APPRAISALS,$25000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,149,SOFTWARE MAINT/LICENSING,$134600.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,$11891286.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,$46000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,159,LEASE PURCHASE AGREEMNT,$299000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,160,REPAIR/MAINT PROPERTY,$200000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,$70000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,166,DUES  SUBSC & MEM,$2915.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,169,TECHNICAL MEETING COSTS,$6390.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,179,MESSENGER SERVICES,$2500.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,185,WASTE DISPOSAL SERV,$4000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,229,TRAN/EXP ALLOWANCE,$2214.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHL DIESEL FUEL,$11939360.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,318,OTHER FUEL,$340047.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,$16626466.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,$3695915.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,325,ALTERNATIVE FUEL,$244000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,$12445517.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,340,MATERIAL AND SUPPLIES,$205158.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,348,BOOKS AND RELATED MTL,$165.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,350,STATIONERY AND OFFICE SUPPL,$410000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,9067,PHYSICAL EXAMS,$80535.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,9160,PBC,$1453341.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,$30172311.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,12,CONTRACT WAGE-PR,$457261.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,15,SCHEDULE SALARY ADJ,$23837.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,20,OVERTIME,$400000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,140,PROF & TECHNICAL SERVICES,$4262982.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,148,TESTING AND INSPECTING,$102060.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,149,SOFTWARE MAINT/LICENSING,$112804.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,157,RENTAL EQUIPMENT AND SERVICES,$2379483.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,161,MAINT FACILITIES,$216201.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,$377676.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,166,DUES  SUBSC & MEM,$5000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,176,MAINTN & OPERTN-CY VEHL,$5731514.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,185,WASTE DISPOSAL SERV,$4704.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,188,VEHICLE TRACKING SERVICE,$75000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,245,REIMBURSEMENT TRAVELERS,$10000.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,319,CLOTHING,$37800.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,338,LICENSE STICKER TAG AND PLATES,$104050.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,340,MATERIAL AND SUPPLIES,$48912.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,342,DRUGS MED AND CHEM MATL S,$3885.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,345,APPARATUS AND INSTRUMENTS,$47004.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,348,BOOKS AND RELATED MTL,$588.00
Local,0100,CORPORATE FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,$11170427.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,125,OFF AND BUILDING SERV,$115102.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SAN SUPPLY,$10500.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,140,PROF & TECHNICAL SERVICES,$125000.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,$401196.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHL DIESEL FUEL,$2571201.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,$196117.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,$12635433.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,$13744566.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,$3993028.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,12,CONTRACT WAGE-PR,$47758.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,15,SCHEDULE SALARY ADJ,$906.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,20,OVERTIME,$120000.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,140,PROF & TECHNICAL SERVICES,$398930.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,160,REPAIR/MAINT PROPERTY,$65800.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,176,MAINTN & OPERTN-CY VEHL,$215000.00
Local,0200,WATER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,$1465798.00
Local,0300,VEHICLE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,125,OFF AND BUILDING SERV,$301955.00
Local,0300,VEHICLE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,140,PROF & TECHNICAL SERVICES,$383983.00
Local,0300,VEHICLE FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SAN SUPPLY,$28500.00
Local,0300,VEHICLE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,140,PROF & TECHNICAL SERVICES,$30000.00
Local,0300,VEHICLE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,$1598313.00
Local,0300,VEHICLE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHL DIESEL FUEL,$2015760.00
Local,0300,VEHICLE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,$1247581.00
Local,0300,VEHICLE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,$952846.00
Local,0300,VEHICLE FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,$3344873.00
Local,0310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHL DIESEL FUEL,$1900000.00
Local,0310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,$100000.00
Local,0310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,$14958192.00
Local,0310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,$3195258.00
Local,0310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,12,CONTRACT WAGE-PR,$48634.00
Local,0310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,15,SCHEDULE SALARY ADJ,$1504.00
Local,0310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,20,OVERTIME,$1000000.00
Local,0310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,140,PROF & TECHNICAL SERVICES,$300000.00
Local,0310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,157,RENTAL EQUIPMENT AND SERVICES,$3041822.00
Local,0310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,$1200000.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,140,PROF & TECHNICAL SERVICES,$90000.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,$390420.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHL DIESEL FUEL,$1259602.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,$186310.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,$48633.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,$63107.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,$2442994.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,12,CONTRACT WAGE-PR,$20364.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,20,OVERTIME,$60000.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,140,PROF & TECHNICAL SERVICES,$203747.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,$45120.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,176,MAINTN & OPERTN-CY VEHL,$250501.00
Local,0314,SEWER FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,$754603.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$1330675.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,12,CONTRACT WAGE-PR,$21102.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,15,SCHEDULE SALARY ADJ,$2837.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,20,OVERTIME,$10000.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,125,OFF AND BUILDING SERV,$3116000.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,140,PROF & TECHNICAL SERVICES,$2835895.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,160,REPAIR/MAINT PROPERTY,$300000.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,$250000.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SAN SUPPLY,$220000.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,340,MATERIAL AND SUPPLIES,$315000.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,$1758985.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,$541716.00
Local,0346,LIBRARY FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,$2670233.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,140,PROF & TECHNICAL SERVICES,$15000.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHL DIESEL FUEL,$531762.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,$228230.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,$910805.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,325,ALTERNATIVE FUEL,$10000.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,$4821558.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,$1191528.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,12,CONTRACT WAGE-PR,$14972.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,15,SCHEDULE SALARY ADJ,$1935.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,20,OVERTIME,$100000.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,140,PROF & TECHNICAL SERVICES,$214000.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,148,TESTING AND INSPECTING,$5890.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,149,SOFTWARE MAINT/LICENSING,$6580.00
Local,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,$30550.00
