FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2015 ORDINANCE (AMOUNT $)
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,169,TECHNICAL MEETING COSTS,$48850.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,179,MESSENGER SERVICES,$1520.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,181,MOBILE COMMUNICATION SERVICES,$14177.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,190,TELEPHONE - NON-CENTREX BILLINGS,$37000.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,197,TELEPHONE - MAINTENANCE,$18795.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,229,TRANSPORTATION AND EXPENSE ALLOWANCE,$3300.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,245,REIMBURSEMENT TO TRAVELERS,$1000.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,270,LOCAL TRANSPORTATION,$1548.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,340,MATERIAL AND SUPPLIES,$15150.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,348,BOOKS AND RELATED MATERIAL,$5273.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,350,STATIONERY AND OFFICE SUPPLIES,$20500.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,446,PURCHASE - DATA HARDWARE,$15575.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,938,LOW INCOME HOUSING,$3500000.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,9110,PROPERT MANAGEMENT MAIN,$100000.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,9183,FORECLOSURE PREVENTION,$200000.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,9211,SINGLE-FAMILY TROUBLED BUILDING INITIATI,$150000.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,9212,MULTI-FAMILY TROUBLED BUILDING INITIATIV,$150000.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,9213,AFFORDABLE HOUSING DENSITY PROGRAM,$18482000.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,9224,MICRO MARKET RECOVERY,$772700.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,5,SALARIES AND WAGES - ON PAYROLL,$158136.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,10,SALARIES AND WAGES - ON VOUCHER,$60000.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,50,STIPENDS,$111000.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,130,POSTAGE,$300.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,140,PROFESSIONAL AND TECHNICAL SERVICES,$1500.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,143,COURT REPORTING,$90000.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,157,RENTAL EQUIPMENT AND SERVICES,$4708.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,169,TECHNICAL MEETING COSTS,$1024.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,181,MOBILE COMMUNICATION SERVICES,$687.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,270,LOCAL TRANSPORTATION,$500.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,348,BOOKS AND RELATED MATERIAL,$100.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,350,STATIONERY AND OFFICE SUPPLIES,$1000.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,5,SALARIES AND WAGES - ON PAYROLL,$8000042.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,11,CONTRACT WAGE - SALARY,$28967.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,15,SCHEDULE SALARY ADJUSTMENTS,$52578.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,20,OVERTIME,$100000.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,130,POSTAGE,$12620.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,140,PROFESSIONAL AND TECHNICAL SERVICES,$125190.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,149,SOFTWARE MAINTENANCE AND LICENSING,$1100.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,150,PUBLICATN & REPRODT-OUT,$4500.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,159,LEASE PURCHASE AGREEMNT,$23443.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,162,REPAIR/MAINT EQUIPMENT,$20065.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,166,DUES  SUBSC & MEM,$1410.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,169,TECHNICAL MEETING COSTS,$15850.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,181,MOBILE COMMUNICATION SERVICES,$8645.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,190,TELEPHONE - NON-CENTREX BILLINGS,$21200.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,197,TELEPHONE - MAINTENANCE,$1100.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,245,REIMBURSEMENT TO TRAVELERS,$4050.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,320,GASOLINE,$250.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,340,MATERIAL AND SUPPLIES,$3000.00
LOCAL,0100,CORPORATE FUND,56,IPRA,2005,IPRA,350,STATIONERY AND OFFICE SUPPLIES,$28000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,5,SALARIES AND WAGES - ON PAYROLL,$1050939230.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,11,CONTRACT WAGE - SALARY,$69157483.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,15,SCHEDULE SALARY ADJUSTMENTS,$6341575.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,20,OVERTIME,$71000000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,21,SWORN/CIVILIAN HOLIDAY PREMIUM PAY,$3500000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,22,DUTY AVAILABILITY,$38927717.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,24,COMPENSATORY TIME PAYMENT,$14500000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,25,CROSSING GUARDS - VACATION PAYOUT,$1444000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,27,SUPERVISORS QUARTERLY PAYMENT,$8860520.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,32,REIMBURSABLE OVERTIME,$6000000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,60,SPECIALTY PAY,$12500000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,70,TUITION REIMBURSEMENT,$6500000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,88,FURLOUGH / COMP TIME BUY-BACK,$12000000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,91,UNIFORM ALLOWANCE,$22050000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,125,OFFICE AND BUILDING SERVICES,$500.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,130,POSTAGE,$202178.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,138,IT MAINTENANCE,$1500.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,140,PROFESSIONAL AND TECHNICAL SERVICES,$2922781.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,145,LEGAL EXPENSES,$17000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,148,TESTING AND INSPECTING,$525.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,149,SOFTWARE MAINTENANCE AND LICENSING,$16090.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,152,ADVERTISING,$2400.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,154,RENTAL-DATA HARDWARE EQ,$760357.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,157,RENTAL EQUIPMENT AND SERVICES,$116666.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,161,MAINT FACILITIES,$185000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,162,REPAIR/MAINT EQUIPMENT,$338375.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,166,DUES  SUBSC & MEM,$66618.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,169,TECHNICAL MEETING COSTS,$106630.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,176,MAINTENANCE AND OPERATION - VEHICLES,$3000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,178,FREIGHT AND EXPRESS CHARGES,$34000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,185,WASTE DISPOSAL SERVICES,$29200.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,189,TELEPHONE - NON-CENTREX BILLINGS,$250900.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,190,TELEPHONE - NON-CENTREX BILLINGS,$739500.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,196,DATA CIRCUITS,$750000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,197,TELEPHONE - MAINTENANCE,$27630.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,245,REIMBURSEMENT TO TRAVELERS,$308670.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,313,CLEANING AND SANITATION SUPPLIES,$381.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,319,CLOTHING,$5000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,320,GASOLINE,$85000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,330,FOOD,$191758.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,338,LICENSE STICKER TAG AND PLATES,$750.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,340,MATERIAL AND SUPPLIES,$2368923.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,$9966.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,345,APPARATUS AND INSTRUMENTS,$19061.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,348,BOOKS AND RELATED MATERIAL,$25451.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,350,STATIONERY AND OFFICE SUPPLIES,$625323.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,360,REPAIR PARTS AND MATERIAL,$305849.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,430,LIVESTOCK,$36250.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,931,TORT/NON-TORT JUDGMENT,$19844350.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,937,HOSPITAL//MEDICAL - NOT WORKERS' COMP,$19000000.00
LOCAL,0100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,9067,PHYSICAL EXAMS,$1096113.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,5,SALARIES AND WAGES - ON PAYROLL,$54555091.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,11,CONTRACT WAGE - SALARY,$22112.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,12,CONTRACT WAGE - PREVAILING RATE,$116408.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,15,SCHEDULE SALARY ADJUSTMENTS,$314421.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,20,OVERTIME,$6050000.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,39,STUDENT AS TRAINEES,$29000.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,91,UNIFORM ALLOWANCE,$195800.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,130,POSTAGE,$6326.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,138,IT MAINTENANCE,$4275018.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,140,PROFESSIONAL AND TECHNICAL SERVICES,$4398825.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,149,SOFTWARE MAINTENANCE AND LICENSING,$389000.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,152,ADVERTISING,$1200.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,153,PROMOTIONS,$2500.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,154,RENTAL-DATA HARDWARE EQ,$73376.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,157,RENTAL EQUIPMENT AND SERVICES,$448988.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,162,REPAIR/MAINT EQUIPMENT,$806250.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,166,DUES  SUBSC & MEM,$21192.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,169,TECHNICAL MEETING COSTS,$399.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,178,FREIGHT AND EXPRESS CHARGES,$5500.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,189,TELEPHONE - NON-CENTREX BILLINGS,$3184469.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,196,DATA CIRCUITS,$2100000.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,197,TELEPHONE - MAINTENANCE,$376000.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,229,TRANSPORTATION AND EXPENSE ALLOWANCE,$91125.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,245,REIMBURSEMENT TO TRAVELERS,$4275.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,270,LOCAL TRANSPORTATION,$3000.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,319,CLOTHING,$150666.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,340,MATERIAL AND SUPPLIES,$618746.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,348,BOOKS AND RELATED MATERIAL,$3456.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,350,STATIONERY AND OFFICE SUPPLIES,$67308.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,360,REPAIR PARTS AND MATERIAL,$688007.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,365,ELECTRICAL SUPPLIES,$127080.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,401,TOOL <= $100 UNIT,$41850.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,423,COMMUNICATION DEVICES,$26702.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,5,SALARIES AND WAGES - ON PAYROLL,$439000419.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,11,CONTRACT WAGE - SALARY,$12997.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,12,CONTRACT WAGE - PREVAILING RATE,$3009.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,15,SCHEDULE SALARY ADJUSTMENTS,$1254838.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,20,OVERTIME,$20000000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,21,SWORN/CIVILIAN HOLIDAY PREMIUM PAY,$18715370.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,22,DUTY AVAILABILITY,$15442497.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,24,COMPENSATORY TIME PAYMENT,$1000000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,28,COOPERATIVE EDUCATION PROGRAM,$4436380.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,39,STUDENT AS TRAINEES,$7125.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,60,SPECIALTY PAY,$18039947.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,61,DRIVER'S DIFFERENTIAL,$3255500.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,62,REQUIRED CERTIFICATIONS,$150000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,63,FITNESS BENEFIT,$990000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,70,TUITION REIMBURSEMENT,$425000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,88,FURLOUGH / COMP TIME BUY-BACK,$4000000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,91,UNIFORM ALLOWANCE,$5046000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,130,POSTAGE,$25463.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,138,IT MAINTENANCE,$547000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,$3795020.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,149,SOFTWARE MAINTENANCE AND LICENSING,$4000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,157,RENTAL EQUIPMENT AND SERVICES,$94876.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,159,LEASE PURCHASE AGREEMNT,$82500.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,160,REPAIR/MAINT PROPERTY,$13827.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,162,REPAIR/MAINT EQUIPMENT,$1109589.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,166,DUES  SUBSC & MEM,$5150.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,169,TECHNICAL MEETING COSTS,$5343.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,181,MOBILE COMMUNICATION SERVICES,$392000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,186,PAGERS,$400.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,189,TELEPHONE - NON-CENTREX BILLINGS,$148800.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,190,TELEPHONE - NON-CENTREX BILLINGS,$114700.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,196,DATA CIRCUITS,$188000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,197,TELEPHONE - MAINTENANCE,$6800.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,229,TRANSPORTATION AND EXPENSE ALLOWANCE,$43000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,245,REIMBURSEMENT TO TRAVELERS,$6000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,270,LOCAL TRANSPORTATION,$1900.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,318,OTHER FUEL,$6000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,338,LICENSE STICKER TAG AND PLATES,$3915.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,340,MATERIAL AND SUPPLIES,$1281102.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,$767005.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,345,APPARATUS AND INSTRUMENTS,$348000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,348,BOOKS AND RELATED MATERIAL,$8405.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,350,STATIONERY AND OFFICE SUPPLIES,$124758.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,360,REPAIR PARTS AND MATERIAL,$256000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,422,OFFICE MACHINES,$8000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,424,FURNITURE AND FURNISHINGS,$115000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,931,TORT/NON-TORT JUDGMENT,$2702000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,937,HOSPITAL//MEDICAL - NOT WORKERS' COMP,$9000000.00
LOCAL,0100,CORPORATE FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,9067,PHYSICAL EXAMS,$1080000.00
LOCAL,0100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,5,SALARIES AND WAGES - ON PAYROLL,$17054086.00
LOCAL,0100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,11,CONTRACT WAGE - SALARY,$19948.00
LOCAL,0100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,12,CONTRACT WAGE - PREVAILING RATE,$79204.00
LOCAL,0100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,15,SCHEDULE SALARY ADJUSTMENTS,$41618.00
LOCAL,0100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,20,OVERTIME,$25000.00
LOCAL,0100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,32,REIMBURSABLE OVERTIME,$50000.00
LOCAL,0100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,50,STIPENDS,$57000.00
LOCAL,0100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,130,POSTAGE,$27068.00
LOCAL,0100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,140,PROFESSIONAL AND TECHNICAL SERVICES,$2887897.00
LOCAL,0100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,143,COURT REPORTING,$2500.00
